"id";"title";"price";"image";"category";"description";"rating_id";"quantity"
67;"Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops";109.95;"81fPKd-2AYL._AC_SL1500_.jpg";"men's clothing";"Your perfect pack for everyday use and walks in the forest. Stash your laptop (up to 15 inches) in the padded sleeve, your everyday";21;10
68;"Mens Casual Premium Slim Fit T-Shirts";22.3;"71-3HjGNDUL._AC_SY879._SX._UX._SY._UY_.jpg";"men's clothing";"Slim-fitting style, contrast raglan long sleeve, three-button henley placket, light weight & soft fabric for breathable and comfortable wearing. And Solid stitched shirts with round neck made for durability and a great fit for casual fashion wear and diehard baseball fans. The Henley style round neckline includes a three-button placket.";22;8
69;"Mens Cotton Jacket";55.99;"71li-ujtlUL._AC_UX679_.jpg";"men's clothing";"great outerwear jackets for Spring/Autumn/Winter, suitable for many occasions, such as working, hiking, camping, mountain/rock climbing, cycling, traveling or other outdoors. Good gift choice for you or your family member. A warm hearted love to Father, husband or son in this thanksgiving or Christmas Day.";23;10
70;"Mens Casual Slim Fit";15.99;"71YXzeOuslL._AC_UY879_.jpg";"men's clothing";"The color could be slightly different between on the screen and in practice. / Please note that body builds vary by person, therefore, detailed size information should be reviewed below on the product description.";24;10
71;"John Hardy Women's Legends Naga Gold & Silver Dragon Station Chain Bracelet";695.0;"71pWzhdJNwL._AC_UL640_QL65_ML3_.jpg";"jewelery";"From our Legends Collection, the Naga was inspired by the mythical water dragon that protects the ocean's pearl. Wear facing inward to be bestowed with love and abundance, or outward for protection.";25;10
72;"Solid Gold Petite Micropave";168.0;"61sbMiUnoGL._AC_UL640_QL65_ML3_.jpg";"jewelery";"Satisfaction Guaranteed. Return or exchange any order within 30 days.Designed and sold by Hafeez Center in the United States. Satisfaction Guaranteed. Return or exchange any order within 30 days.";26;10
73;"White Gold Plated Princess";9.99;"71YAIFU48IL._AC_UL640_QL65_ML3_.jpg";"jewelery";"Classic Created Wedding Engagement Solitaire Diamond Promise Ring for Her. Gifts to spoil your love more for Engagement, Wedding, Anniversary, Valentine's Day...";27;10
74;"Pierced Owl Rose Gold Plated Stainless Steel Double";10.99;"51UDEzMJVpL._AC_UL640_QL65_ML3_.jpg";"jewelery";"Rose Gold Plated Double Flared Tunnel Plug Earrings. Made of 316L Stainless Steel";28;10
75;"WD 2TB Elements Portable External Hard Drive - USB 3.0";64.0;"61IBBVJvSDL._AC_SY879_.jpg";"electronics";"USB 3.0 and USB 2.0 Compatibility Fast data transfers Improve PC Performance High Capacity; Compatibility Formatted NTFS for Windows 10, Windows 8.1, Windows 7; Reformatting may be required for other operating systems; Compatibility may vary depending on user�s hardware configuration and operating system";29;10
76;"SanDisk SSD PLUS 1TB Internal SSD - SATA III 6 Gb/s";109.0;"61U7T1koQqL._AC_SX679_.jpg";"electronics";"Easy upgrade for faster boot up, shutdown, application load and response (As compared to 5400 RPM SATA 2.5� hard drive; Based on published specifications and internal benchmarking tests using PCMark vantage scores) Boosts burst write performance, making it ideal for typical PC workloads The perfect balance of performance and reliability Read/write speeds of up to 535MB/s/450MB/s (Based on internal testing; Performance may vary depending upon drive capacity, host device, OS and application.)";30;10
77;"Silicon Power 256GB SSD 3D NAND A55 SLC Cache Performance Boost SATA III 2.5";109.0;"71kWymZcL._AC_SX679_.jpg";"electronics";"3D NAND flash are applied to deliver high transfer speeds Remarkable transfer speeds that enable faster bootup and improved overall system performance. The advanced SLC Cache Technology allows performance boost and longer lifespan 7mm slim design suitable for Ultrabooks and Ultra-slim notebooks. Supports TRIM command, Garbage Collection technology, RAID, and ECC (Error Checking & Correction) to provide the optimized performance and enhanced reliability.";31;10
78;"WD 4TB Gaming Drive Works with Playstation 4 Portable External Hard Drive";114.0;"61mtL65D4cL._AC_SX679_.jpg";"electronics";"Expand your PS4 gaming experience, Play anywhere Fast and easy, setup Sleek design with high capacity, 3-year manufacturer's limited warranty";32;10
79;"Acer SB220Q bi 21.5 inches Full HD (1920 x 1080) IPS Ultra-Thin";599.0;"81QpkIctqPL._AC_SX679_.jpg";"electronics";"21. 5 inches Full HD (1920 x 1080) widescreen IPS display And Radeon free Sync technology. No compatibility for VESA Mount Refresh Rate: 75Hz - Using HDMI port Zero-frame design | ultra-thin | 4ms response time | IPS panel Aspect ratio - 16: 9. Color Supported - 16. 7 million colors. Brightness - 250 nit Tilt angle -5 degree to 15 degree. Horizontal viewing angle-178 degree. Vertical viewing angle-178 degree 75 hertz";33;10
80;"Samsung 49-Inch CHG90 144Hz Curved Gaming Monitor (LC49HG90DMNXZA) � Super Ultrawide Screen QLED";999.99;"81Zt42ioCgL._AC_SX679_.jpg";"electronics";"49 INCH SUPER ULTRAWIDE 32:9 CURVED GAMING MONITOR with dual 27 inch screen side by side QUANTUM DOT (QLED) TECHNOLOGY, HDR support and factory calibration provides stunningly realistic and accurate color and contrast 144HZ HIGH REFRESH RATE and 1ms ultra fast response time work to eliminate motion blur, ghosting, and reduce input lag";34;10
81;"BIYLACLESEN Women's 3-in-1 Snowboard Jacket Winter Coats";56.99;"51Y5NI-I5jL._AC_UX679_.jpg";"women's clothing";"Note:The Jackets is US standard size, Please choose size as your usual wear Material: 100% Polyester; Detachable Liner Fabric: Warm Fleece. Detachable Functional Liner: Skin Friendly, Lightweigt and Warm.Stand Collar Liner jacket, keep you warm in cold weather. Zippered Pockets: 2 Zippered Hand Pockets, 2 Zippered Pockets on Chest (enough to keep cards or keys)and 1 Hidden Pocket Inside.Zippered Hand Pockets and Hidden Pocket keep your things secure. Humanized Design: Adjustable and Detachable Hood and Adjustable cuff to prevent the wind and water,for a comfortable fit. 3 in 1 Detachable Design provide more convenience, you can separate the coat and inner as needed, or wear it together. It is suitable for different season and help you adapt to different climates";35;10
82;"Lock and Love Women's Removable Hooded Faux Leather Moto Biker Jacket";29.95;"81XH0e8fefL._AC_UY879_.jpg";"women's clothing";"100% POLYURETHANE(shell) 100% POLYESTER(lining) 75% POLYESTER 25% COTTON (SWEATER), Faux leather material for style and comfort / 2 pockets of front, 2-For-One Hooded denim style faux leather jacket, Button detail on waist / Detail stitching at sides, HAND WASH ONLY / DO NOT BLEACH / LINE DRY / DO NOT IRON";36;10
83;"Rain Jacket Women Windbreaker Striped Climbing Raincoats";39.99;"71HblAHs5xL._AC_UY879_-2.jpg";"women's clothing";"Lightweight perfet for trip or casual wear---Long sleeve with hooded, adjustable drawstring waist design. Button and zipper front closure raincoat, fully stripes Lined and The Raincoat has 2 side pockets are a good size to hold all kinds of things, it covers the hips, and the hood is generous but doesn't overdo it.Attached Cotton Lined Hood with Adjustable Drawstrings give it a real styled look.";37;10
84;"MBJ Women's Solid Short Sleeve Boat Neck V";9.85;"71z3kpMAYsL._AC_UY879_.jpg";"women's clothing";"95% RAYON 5% SPANDEX, Made in USA or Imported, Do Not Bleach, Lightweight fabric with great stretch for comfort, Ribbed on sleeves and neckline / Double stitching on bottom hem";38;10
85;"Opna Women's Short Sleeve Moisture";7.95;"51eg55uWmdL._AC_UX679_.jpg";"women's clothing";"100% Polyester, Machine wash, 100% cationic polyester interlock, Machine Wash & Pre Shrunk for a Great Fit, Lightweight, roomy and highly breathable with moisture wicking fabric which helps to keep moisture away, Soft Lightweight Fabric with comfortable V-neck collar and a slimmer fit, delivers a sleek, more feminine silhouette and Added Comfort";39;10
86;"DANVOUY Womens T Shirt Casual Cotton Short";12.99;"61pHAEJ4NML._AC_UX679_.jpg";"women's clothing";"95%Cotton,5%Spandex, Features: Casual, Short Sleeve, Letter Print,V-Neck,Fashion Tees, The fabric is soft and has some stretch., Occasion: Casual/Office/Beach/School/Home/Street. Season: Spring,Summer,Autumn,Winter.";40;10
